Home,Away,PTS_home,PTS_away,HOME_TEAM_WINS,pts_poss_off1920.x,pts_poss_def1920.x,efg_percent_off1920.x,efg_percent_def1920.x,tov_percent_off1920.x,tov_percent_def1920.x,orb_percent_off1920.x,orb_percent_def1920.x,ft_rate_off1920.x,ft_rate_def1920.x,pts_poss_off1920.y,pts_poss_def1920.y,efg_percent_off1920.y,efg_percent_def1920.y,tov_percent_off1920.y,tov_percent_def1920.y,orb_percent_off1920.y,orb_percent_def1920.y,ft_rate_off1920.y,ft_rate_def1920.y,efg_diff_off,efg_diff_def,tov_diff_off,tov_diff_def,orb_diff_off,orb_diff_def,ft_diff_off,ft_diff_def,pts_poss_off,pts_poss_def,estimate,pred,accuracy
Memphis Grizzlies,Atlanta Hawks,128,106,1,195.75,200.79000000000002,93.24000000000001,93.42000000000002,24.48,24.84,45,45.54,34.65,43.2,208.07999999999998,201.42000000000002,99.81,92.34,28.35,22.770000000000003,45.629999999999995,47.16,49.68,43.2,0.9000000000000057,-6.389999999999986,1.7099999999999973,-3.5100000000000016,-2.1599999999999966,-0.0899999999999963,-8.550000000000004,-6.479999999999997,-5.670000000000016,-7.289999999999964,0.5574658760710651,1,1
Dallas Mavericks,Minnesota Timberwolves,127,129,0,211.68,199.53,99.53999999999999,96.84,19.8,25.560000000000002,38.25,44.010000000000005,41.76,35.730000000000004,192.15,202.05,89.1,97.74000000000001,24.660000000000004,28.08,49.050000000000004,51.75,33.660000000000004,34.56,1.799999999999983,7.740000000000009,-8.279999999999998,0.8999999999999986,-13.5,-5.039999999999999,7.199999999999996,2.0700000000000003,9.629999999999995,7.3799999999999955,0.5664302855530646,1,0
Sacramento Kings,Golden State Warriors,105,113,0,195.12,199.98000000000002,93.42000000000002,96.12,26.37,23.58,46.71,42.120000000000005,38.519999999999996,32.85,181.89000000000001,206.73000000000002,84.33000000000001,104.94,24.75,30.96,40.95,47.43,36.99000000000001,42.480000000000004,-11.519999999999982,11.789999999999992,-4.59,-1.1700000000000017,-0.7199999999999989,1.1700000000000017,-3.960000000000008,-4.140000000000008,-11.610000000000014,18.090000000000003,0.5242234102374949,1,0
Los Angeles Clippers,Utah Jazz,105,125,0,201.15,204.39000000000001,96.57000000000001,96.66,28.080000000000002,24.75,46.53,46.08,41.85,44.1,202.68,196.47000000000003,97.38,92.97,27.54,21.15,50.13,42.3,35.82,30.510000000000005,3.6000000000000085,-0.7199999999999989,6.930000000000003,-2.789999999999999,4.230000000000004,-4.050000000000004,11.339999999999996,8.280000000000001,4.679999999999978,1.710000000000008,0.559687968009052,1,0
New York Knicks,Cleveland Cavaliers,100,93,1,194.85000000000002,202.41,94.13999999999999,94.41,27.900000000000002,23.040000000000003,47.61,49.230000000000004,35.370000000000005,39.06,200.7,194.76000000000002,100.35,98.1,30.33,28.439999999999998,48.6,42.39,30.419999999999998,30.6,-3.960000000000008,-5.939999999999998,-0.5399999999999956,-7.289999999999996,5.219999999999999,0.6300000000000026,4.770000000000003,8.640000000000004,0.09000000000000341,1.710000000000008,0.4066180434090451,0,0
Oklahoma City Thunder,Chicago Bulls,103,124,0,195.75,194.04000000000002,95.94,94.05000000000001,27.27,26.1,42.93,44.730000000000004,38.07000000000001,31.5,188.64,205.01999999999998,93.87,101.34,31.14,29.88,44.64,44.46000000000001,37.71,43.2,-5.400000000000006,0.18000000000000682,-2.6099999999999994,-5.039999999999999,-1.5300000000000082,0.09000000000000341,-5.1299999999999955,-6.210000000000001,-9.269999999999982,5.400000000000034,0.514242061991119,1,0
Denver Nuggets,Portland Trail Blazers,126,95,1,206.64000000000001,204.12,99.09,98.64,25.38,28.71,49.5,48.69,36.36,39.150000000000006,204.3,207.99,96.03,98.55000000000001,19.98,23.4,44.730000000000004,44.370000000000005,31.230000000000004,36,0.539999999999992,2.6099999999999994,1.9800000000000004,8.73,5.1299999999999955,3.9599999999999937,0.35999999999999943,7.920000000000002,-1.3499999999999943,-0.18000000000000682,0.5178034270119802,1,1
Phoenix Suns,Los Angeles Lakers,107,112,0,197.37,193.23000000000002,95.67,93.6,24.660000000000004,26.55,41.4,41.85,33.66,43.2,208.62,193.41000000000003,103.05000000000001,93.87,28.44,25.92,47.52,43.47,36.09,32.85,1.7999999999999972,-9.450000000000017,-1.259999999999998,-1.8900000000000006,-2.0700000000000003,-5.670000000000002,0.8099999999999952,7.109999999999999,3.9599999999999795,-15.389999999999986,0.43318731248671855,0,1
Philadelphia 76ers,Boston Celtics,108,99,1,196.11,195.20999999999998,95.22,95.4,28.17,27.450000000000003,51.300000000000004,45.09,36.63,34.650000000000006,200.88,202.05,94.32000000000001,99.09,23.94,28.080000000000002,50.67,45.900000000000006,31.770000000000003,37.44,-3.8700000000000045,1.0799999999999983,0.08999999999999986,3.5100000000000016,5.399999999999999,-5.579999999999998,-0.8099999999999952,2.8800000000000026,-5.939999999999998,-5.670000000000016,0.4675622261981704,0,0
Houston Rockets,San Antonio Spurs,112,98,1,204.3,211.32,100.08,101.07,26.55,26.19,40.5,55.44,41.94,31.14,201.06,197.64,96.03,94.68,23.22,20.61,40.77,39.959999999999994,33.21,31.23,5.3999999999999915,5.039999999999992,5.940000000000001,2.9700000000000024,0.5400000000000063,14.669999999999995,10.709999999999997,-2.0700000000000003,6.660000000000025,10.259999999999991,0.6471597211699952,1,1
